"aq",,,,
"Czas","Si³a","Przemieszczenie","Naprê¿.","Rozstaw"
"sec","N","mm","N/mm2","mm"
"1800,95","-0,02566973","-4,877001","-0,000145261","8,1905"
"1800,96","-0,0260671","-4,876375","-0,0001475096","8,189875"
"1800,97","-0,02638499","-4,875751","-0,0001493085","8,189251"
"1800,98","-0,02646446","-4,875126","-0,0001497582","8,188625"
"1800,99","-0,02686183","-4,8745","-0,0001520068","8,188"
"1801","-0,02686183","-4,873751","-0,0001520068","8,18725"
"1801,01","-0,02662341","-4,873125","-0,0001506577","8,186625"
"1801,02","-0,0260671","-4,871876","-0,0001475096","8,185375"
"1801,03","-0,02598763","-4,870501","-0,0001470599","8,184"
"1801,04","-0,0260671","-4,869751","-0,0001475096","8,18325"
"1801,05","-0,02598763","-4,869001","-0,0001470599","8,182501"
"1801,06","-0,02582868","-4,868126","-0,0001461604","8,181625"
"1801,07","-0,02582868","-4,867376","-0,0001461604","8,180876"
"1801,08","-0,0260671","-4,866627","-0,0001475096","8,180126"
"1801,09","-0,0260671","-4,865751","-0,0001475096","8,179251"
"1801,1","-0,02582868","-4,865126","-0,0001461604","8,178625"
"1801,11","-0,02598763","-4,8645","-0,0001470599","8,177999"
"1801,12","-0,02622604","-4,863876","-0,000148409","8,177376"
"1801,13","-0,02646446","-4,863377","-0,0001497582","8,176876"
"1801,14","-0,02638499","-4,862375","-0,0001493085","8,175875"
"1801,15","-0,02598763","-4,861126","-0,0001470599","8,174625"
"1801,16","-0,02566973","-4,859877","-0,000145261","8,173376"
"1801,17","-0,02598763","-4,859001","-0,0001470599","8,172501"
"1801,18","-0,02622604","-4,858126","-0,000148409","8,171625"
"1801,19","-0,02598763","-4,857376","-0,0001470599","8,170876"
"1801,2","-0,02543131","-4,856501","-0,0001439118","8,17"
"1801,21","-0,0251929","-4,855751","-0,0001425626","8,16925"
"1801,22","-0,02566973","-4,855125","-0,000145261","8,168625"
"1801,23","-0,02646446","-4,854502","-0,0001497582","8,168001"
"1801,24","-0,02662341","-4,85375","-0,0001506577","8,16725"
"1801,25","-0,02566973","-4,853251","-0,000145261","8,16675"
"1801,26","-0,02479553","-4,852125","-0,000140314","8,165625"
"1801,27","-0,02439817","-4,850626","-0,0001380654","8,164125"
"1801,28","-0,02455711","-4,849751","-0,0001389648","8,16325"
"1801,29","-0,02455711","-4,849001","-0,0001389648","8,1625"
"1801,3","-0,02503395","-4,848125","-0,0001416632","8,161625"
"1801,31","-0,0260671","-4,847376","-0,0001475096","8,160875"
"1801,32","-0,02686183","-4,8465","-0,0001520068","8,16"
"1801,33","-0,02662341","-4,845751","-0,0001506577","8,15925"
"1801,34","-0,02582868","-4,845125","-0,0001461604","8,158625"
"1801,35","-0,02566973","-4,844376","-0,000145261","8,157875"
"1801,36","-0,02598763","-4,84375","-0,0001470599","8,157249"
"1801,37","-0,02598763","-4,843126","-0,0001470599","8,156626"
"1801,38","-0,0260671","-4,842001","-0,0001475096","8,1555"
"1801,39","-0,02662341","-4,840376","-0,0001506577","8,153875"
"1801,4","-0,02725919","-4,839626","-0,0001542555","8,153126"
"1801,41","-0,02765656","-4,838751","-0,0001565041","8,15225"
"1801,42","-0,0278155","-4,837875","-0,0001574035","8,151375"
"1801,43","-0,02813339","-4,837002","-0,0001592024","8,150501"
"1801,44","-0,02829234","-4,836376","-0,0001601019","8,149876"
"1801,45","-0,02789497","-4,835751","-0,0001578533","8,14925"
"1801,46","-0,02725919","-4,835125","-0,0001542555","8,148624"
"1801,47","-0,02725919","-4,834375","-0,0001542555","8,147875"
"1801,48","-0,0278155","-4,833752","-0,0001574035","8,147251"
"1801,49","-0,02805392","-4,833","-0,0001587527","8,1465"
"1801,5","-0,02789497","-4,831751","-0,0001578533","8,14525"
"1801,51","-0,02749761","-4,830751","-0,0001556046","8,144251"
"1801,52","-0,02710024","-4,82975","-0,000153356","8,14325"
"1801,53","-0,02670288","-4,829","-0,0001511074","8,1425"
"1801,54","-0,02622604","-4,828125","-0,000148409","8,141624"
"1801,55","-0,02598763","-4,827375","-0,0001470599","8,140875"
"1801,56","-0,02622604","-4,826502","-0,000148409","8,140001"
"1801,57","-0,02646446","-4,82575","-0,0001497582","8,13925"
"1801,58","-0,02686183","-4,825127","-0,0001520068","8,138626"
"1801,59","-0,02702077","-4,824625","-0,0001529063","8,138124"
"1801,6","-0,02670288","-4,823875","-0,0001511074","8,137375"
"1801,61","-0,02622604","-4,823376","-0,000148409","8,136875"
"1801,62","-0,02622604","-4,8225","-0,000148409","8,136"
"1801,63","-0,02662341","-4,821125","-0,0001506577","8,134624"
"1801,64","-0,02686183","-4,819752","-0,0001520068","8,133251"
"1801,65","-0,02662341","-4,818876","-0,0001506577","8,132376"
"1801,66","-0,0260671","-4,818127","-0,0001475096","8,131626"
"1801,67","-0,02559026","-4,817375","-0,0001448113","8,130875"
"1801,68","-0,02503395","-4,816502","-0,0001416632","8,130001"
"1801,69","-0,0251929","-4,81575","-0,0001425626","8,12925"
"1801,7","-0,02566973","-4,815126","-0,000145261","8,128626"
"1801,71","-0,02598763","-4,814501","-0,0001470599","8,128"
"1801,72","-0,02543131","-4,813751","-0,0001439118","8,127251"
"1801,73","-0,02495448","-4,813251","-0,0001412135","8,126751"
"1801,74","-0,02495448","-4,812126","-0,0001412135","8,125626"
"1801,75","-0,02495448","-4,810625","-0,0001412135","8,124125"
"1801,76","-0,02455711","-4,809752","-0,0001389648","8,123251"
"1801,77","-0,0240008","-4,808876","-0,0001358168","8,122375"
"1801,78","-0,0240008","-4,808126","-0,0001358168","8,121626"
"1801,79","-0,02423922","-4,807251","-0,0001371659","8,12075"
"1801,8","-0,02479553","-4,806625","-0,000140314","8,120125"
"1801,81","-0,02503395","-4,805752","-0,0001416632","8,119251"
"1801,82","-0,02479553","-4,805126","-0,000140314","8,118626"
"1801,83","-0,02455711","-4,804501","-0,0001389648","8,118"
"1801,84","-0,02479553","-4,803751","-0,000140314","8,11725"
"1801,85","-0,02527237","-4,803125","-0,0001430124","8,116625"
"1801,86","-0,02566973","-4,802","-0,000145261","8,115499"
"1801,87","-0,02566973","-4,800501","-0,000145261","8,114"
"1801,88","-0,02566973","-4,799751","-0,000145261","8,113251"
"1801,89","-0,02566973","-4,798876","-0,000145261","8,112375"
"1801,9","-0,02582868","-4,797876","-0,0001461604","8,111376"
"1801,91","-0,02566973","-4,797001","-0,000145261","8,1105"
"1801,92","-0,02527237","-4,796375","-0,0001430124","8,109875"
"1801,93","-0,0251929","-4,795752","-0,0001425626","8,109251"
"1801,94","-0,02559026","-4,795126","-0,0001448113","8,108625"
"1801,95","-0,02559026","-4,7945","-0,0001448113","8,108"
